Date,Symbol,Open,High,Low,Close,Volume,RSI,MACD,MA20,Volatility,SentimentScore,AnomalyFlag,Label
1988-01-25,NVDA,99.59,100.4,98.04,98.45,1827135,55.42,2.3537,99.51,0.0193,0.555,1,HOLD
1988-01-26,AAPL,105.02,106.43,103.53,105.64,1609801,38.98,3.4785,99.71,0.0051,-0.475,0,BUY
1988-01-27,AAPL,100.28,101.02,99.77,100.43,1538813,61.24,-0.1988,99.87,0.0592,1.0,1,HOLD
1988-01-28,NVDA,100.44,103.46,100.36,101.85,4621711,57.78,2.6415,99.87,0.0097,0.039,0,BUY
1988-01-29,AAPL,102.85,104.01,102.15,102.72,3704526,45.76,3.7367,100.23,0.0121,0.616,0,BUY
1988-02-01,TCS.NS,100.35,102.02,100.06,100.74,4948936,47.12,-2.2517,100.33,0.0224,0.885,0,HOLD
1988-02-02,NVDA,105.21,106.09,104.82,105.22,4344362,46.26,1.4338,100.74,0.0217,1.0,0,BUY
1988-02-03,AAPL,102.71,102.86,101.51,102.43,2564378,58.85,0.5574,100.91,0.0255,-0.4,0,BUY
1988-02-04,RELIANCE.NS,102.11,102.76,100.73,101.29,4992213,44.42,0.4648,100.95,0.0367,-0.238,0,HOLD
1988-02-05,AAPL,101.43,104.07,100.3,101.35,3273538,26.88,-0.4493,101.01,0.0602,-0.491,0,HOLD
1988-02-08,TSLA,102.16,103.03,101.95,102.24,473067,54.23,-0.2467,101.06,0.0184,0.392,1,HOLD
1988-02-09,INFY.NS,104.17,105.32,102.4,103.7,392108,32.63,-2.1063,101.28,0.0437,-0.82,0,SELL
1988-02-10,TSLA,102.64,104.27,100.91,103.37,4428585,30.55,-0.127,101.47,0.0721,0.794,0,HOLD
1988-02-11,TCS.NS,102.12,103.01,100.16,100.27,1260626,30.19,2.2151,101.6,0.0079,-0.266,0,HOLD
1988-02-12,TCS.NS,98.33,99.6,95.48,97.56,1537189,52.73,0.4412,101.53,0.0187,0.123,0,HOLD
1988-02-15,AAPL,98.42,98.49,96.27,97.04,2209169,46.57,-4.3137,101.21,0.033,1.0,0,SELL
1988-02-16,TCS.NS,97.99,99.04,97.18,98.2,1475950,64.25,-1.2733,101.21,0.0187,-1.0,1,SELL
1988-02-17,AAPL,101.45,101.61,99.42,100.43,407067,61.57,2.6811,101.18,0.0176,0.531,0,BUY
1988-02-18,TSLA,98.88,99.36,97.65,97.98,831668,63.07,-0.011,100.86,0.0242,-1.0,0,SELL
1988-02-19,AAPL,100.24,101.75,99.52,99.92,2159058,54.72,-2.5445,101.04,0.0214,1.0,0,SELL
1988-02-22,AAPL,95.27,98.19,94.5,96.91,416263,34.54,-2.0131,100.97,0.0888,0.175,0,SELL
1988-02-23,NVDA,100.82,101.89,97.58,99.39,2522843,39.19,2.2094,100.65,0.0527,1.0,0,HOLD
1988-02-24,INFY.NS,97.8,97.84,96.71,96.72,356064,44.49,-2.3926,100.47,0.009,-1.0,0,SELL
1988-02-25,INFY.NS,95.66,97.48,93.58,96.53,2219517,56.08,-2.3736,100.2,0.0217,-0.602,0,SELL
1988-02-26,INFY.NS,93.75,94.21,92.95,93.89,2466163,28.64,-3.8215,99.76,0.0462,0.303,0,SELL
1988-02-29,RELIANCE.NS,93.91,95.86,92.92,95.74,2197913,71.97,-2.4433,99.51,0.024,-0.46,0,SELL
1988-03-01,TSLA,101.05,102.08,99.91,100.19,4292336,37.85,0.3034,99.26,0.014,0.426,1,HOLD
1988-03-02,TCS.NS,97.51,99.87,96.2,98.8,862616,38.63,-1.1642,99.08,0.0137,1.0,0,SELL
1988-03-03,AAPL,93.68,94.97,93.51,94.55,3012417,68.94,0.7377,98.74,0.0105,0.507,0,HOLD
1988-03-04,NVDA,100.13,100.83,98.58,99.68,982391,44.1,0.469,98.66,0.0171,-1.0,0,HOLD
1988-03-07,INFY.NS,103.55,104.72,101.35,102.3,4962775,66.32,1.3088,98.66,0.0132,0.677,0,BUY
1988-03-08,AAPL,101.7,102.38,100.64,101.38,1680660,53.49,-0.8497,98.54,0.0379,-0.415,0,HOLD
1988-03-09,NVDA,99.13,99.14,97.79,98.58,1139838,55.64,0.7495,98.3,0.0412,0.9,0,BUY
1988-03-10,INFY.NS,99.19,99.47,97.06,98.83,3496091,50.43,1.0663,98.23,0.0376,-0.484,0,BUY
1988-03-11,TCS.NS,97.35,98.0,94.82,96.61,4154817,32.49,0.0428,98.18,0.0062,-0.025,0,SELL
1988-03-14,TSLA,96.39,96.67,94.14,95.31,4506478,20.71,-3.5113,98.1,0.0209,1.0,0,SELL
1988-03-15,TCS.NS,100.08,104.07,98.84,101.2,4838245,43.86,-1.5952,98.25,0.0291,-0.993,0,SELL
1988-03-16,TCS.NS,100.18,100.28,96.5,97.92,3990376,63.78,-1.6684,98.12,0.0431,-0.579,0,SELL
1988-03-17,TCS.NS,96.18,96.66,94.91,95.5,4847105,57.28,-0.1076,98.0,0.0058,-0.417,0,HOLD
1988-03-18,TSLA,96.3,97.99,94.2,97.69,4273540,44.56,1.1176,97.89,0.0094,-0.751,0,HOLD
1988-03-21,TCS.NS,94.12,94.71,93.08,93.83,4629118,58.15,0.9403,97.73,0.013,0.687,0,HOLD
1988-03-22,TCS.NS,98.01,98.46,95.46,97.38,4280709,37.86,-2.9297,97.63,0.0073,-0.237,0,SELL
1988-03-23,INFY.NS,97.81,98.32,96.85,98.13,2036665,63.77,2.0047,97.7,0.0119,0.761,0,BUY
1988-03-24,TCS.NS,98.71,100.0,96.88,98.43,533434,70.66,0.0263,97.8,0.0088,0.364,0,BUY
1988-03-25,TSLA,94.79,95.3,93.99,94.84,3621289,72.18,-0.5277,97.85,0.0155,-0.486,0,HOLD
1988-03-28,TCS.NS,98.52,99.51,97.0,98.65,3523668,54.99,0.3935,97.99,0.049,-0.701,0,HOLD
1988-03-29,TSLA,100.87,103.5,100.44,101.58,4132654,59.13,1.5839,98.06,0.007,-0.46,1,HOLD
1988-03-30,NVDA,97.29,98.37,96.28,97.6,3931113,28.87,2.4715,98.0,0.0214,0.553,0,HOLD
1988-03-31,TSLA,99.21,99.55,96.5,98.33,904707,83.38,0.7867,98.19,0.0053,0.762,0,BUY
1988-04-01,NVDA,98.22,100.55,98.01,99.22,3696817,93.49,3.1208,98.17,0.0041,-1.0,0,BUY
1988-04-04,TSLA,94.06,96.53,93.82,95.64,3306767,39.17,0.8157,97.83,0.0073,-1.0,0,SELL
1988-04-05,RELIANCE.NS,95.44,96.26,93.76,95.25,3984043,48.26,3.5057,97.53,0.0135,1.0,0,HOLD
1988-04-06,TCS.NS,95.56,97.25,95.31,96.44,802908,60.89,2.1872,97.42,0.0089,0.413,0,HOLD
1988-04-07,RELIANCE.NS,98.79,99.64,95.85,97.43,4794699,43.88,0.4125,97.35,0.0129,-0.458,0,HOLD
1988-04-08,RELIANCE.NS,97.54,98.71,95.23,97.06,3305396,36.53,0.6919,97.37,0.0092,-1.0,0,SELL
1988-04-11,NVDA,95.64,97.32,95.11,96.33,2529865,64.24,-2.317,97.42,0.0598,0.286,0,SELL
1988-04-12,TCS.NS,100.03,100.08,99.11,99.16,3577632,41.28,2.3509,97.32,0.0276,-0.611,0,HOLD
1988-04-13,TCS.NS,99.14,100.35,99.06,100.05,3430921,59.43,0.7374,97.43,0.061,-0.677,0,BUY
1988-04-14,RELIANCE.NS,94.04,96.5,93.92,94.55,988266,23.01,-0.3641,97.38,0.008,-0.551,0,SELL
1988-04-15,AAPL,95.36,96.53,95.0,95.9,3218647,56.42,4.0015,97.29,0.004,1.0,0,BUY
1988-04-18,INFY.NS,98.49,99.76,97.93,98.79,227296,62.28,1.6237,97.54,0.0122,-0.019,1,BUY
1988-04-19,NVDA,98.29,98.78,96.63,97.98,1238606,13.3,0.6304,97.57,0.0395,0.55,0,HOLD
1988-04-20,TCS.NS,99.62,101.6,99.24,99.64,1238600,53.11,0.5268,97.64,0.0071,-0.911,0,HOLD
1988-04-21,TSLA,99.22,101.37,96.5,100.06,1433336,40.66,-2.4915,97.72,0.0116,1.0,0,HOLD
1988-04-22,TSLA,95.69,98.37,95.44,96.25,136195,50.96,0.5236,97.79,0.0052,1.0,0,HOLD
1988-04-25,INFY.NS,101.07,101.1,100.64,100.89,3526703,61.43,0.2194,97.91,0.0443,0.119,0,BUY
1988-04-26,TCS.NS,101.72,103.31,98.61,99.56,138771,34.92,5.0157,97.81,0.0011,0.618,0,BUY
1988-04-27,INFY.NS,96.2,98.29,95.36,96.69,1565885,42.0,-1.1092,97.76,0.0142,1.0,0,SELL
1988-04-28,INFY.NS,99.79,101.5,99.32,99.51,3821687,27.41,1.3688,97.82,0.0144,-0.597,0,HOLD
1988-04-29,NVDA,97.74,98.11,94.65,96.86,1804700,26.35,-3.3719,97.7,0.0133,-1.0,0,SELL
1988-05-02,INFY.NS,93.42,94.88,92.33,94.87,3732091,27.51,1.8611,97.66,0.0458,0.002,0,HOLD
1988-05-03,TCS.NS,98.56,99.05,97.46,98.31,3342630,69.92,-1.1725,97.82,0.024,-0.11,0,HOLD
1988-05-04,TCS.NS,95.16,96.93,94.58,96.78,2074274,59.82,2.1264,97.83,0.0368,-1.0,0,HOLD
1988-05-05,AAPL,97.53,99.36,96.12,99.33,1668929,36.7,2.7712,97.93,0.02,0.895,0,BUY
1988-05-06,INFY.NS,96.03,96.85,95.69,96.73,436995,57.38,0.6993,97.91,0.0205,-1.0,0,HOLD
1988-05-09,TCS.NS,98.57,99.36,97.91,99.25,4024765,44.77,-1.308,98.06,0.0251,1.0,0,HOLD
1988-05-10,AAPL,94.3,95.45,94.12,94.79,1639204,57.19,-0.5476,97.84,0.0066,0.989,0,HOLD
1988-05-11,RELIANCE.NS,94.65,95.94,93.87,95.21,4935415,55.86,-3.0208,97.6,0.0126,-0.609,0,SELL
1988-05-12,RELIANCE.NS,96.79,97.04,94.92,96.66,1255854,53.93,1.1968,97.7,0.033,0.615,0,HOLD
1988-05-13,TCS.NS,95.42,97.2,95.2,95.77,3126847,35.89,3.3015,97.7,0.0404,0.984,0,HOLD
1988-05-16,NVDA,95.05,95.78,95.0,95.39,3012592,38.9,1.3834,97.53,0.0472,0.867,0,HOLD
1988-05-17,RELIANCE.NS,96.33,97.55,95.56,95.7,3306639,63.92,-2.6472,97.41,0.0363,0.766,0,HOLD
1988-05-18,TCS.NS,98.33,99.04,95.69,96.62,4047994,68.64,-0.3748,97.26,0.0312,0.524,0,HOLD
1988-05-19,NVDA,94.16,95.81,94.11,95.25,443680,46.42,-0.1361,97.02,0.0147,-0.224,0,SELL
1988-05-20,INFY.NS,99.08,100.99,98.38,99.07,4431790,26.75,-0.488,97.16,0.0282,-0.128,0,HOLD
1988-05-23,INFY.NS,97.26,99.88,96.59,98.23,3805246,61.06,1.853,97.03,0.0343,1.0,0,BUY
1988-05-24,NVDA,99.08,99.16,97.37,98.0,2639086,52.42,1.6939,96.95,0.0067,-1.0,0,BUY
1988-05-25,AAPL,96.12,99.03,94.44,97.79,2608518,80.2,2.3043,97.01,0.0033,-0.602,0,BUY
1988-05-26,NVDA,93.38,95.2,92.35,94.28,3977161,63.49,2.7529,96.74,0.0373,0.893,1,HOLD
1988-05-27,NVDA,95.64,96.94,94.34,95.4,4704887,21.65,0.0154,96.67,0.0095,-0.677,0,SELL
1988-05-30,INFY.NS,93.08,95.36,91.59,94.29,3955079,55.96,1.1524,96.64,0.0587,0.935,0,HOLD
1988-05-31,TCS.NS,95.4,97.83,95.23,95.33,815840,13.99,1.3729,96.49,0.0299,1.0,0,HOLD
1988-06-01,TSLA,98.19,98.39,96.44,96.6,4089199,46.39,1.1903,96.48,0.0292,-0.948,0,HOLD
1988-06-02,RELIANCE.NS,96.96,98.85,95.89,98.62,364790,43.09,-0.0591,96.45,0.0157,0.886,0,HOLD
1988-06-03,NVDA,94.36,95.85,93.0,93.77,3518115,42.73,0.909,96.3,0.009,0.447,0,HOLD
1988-06-06,INFY.NS,96.29,97.59,94.57,96.06,3836014,75.78,2.9059,96.14,0.0255,0.626,0,BUY
1988-06-07,INFY.NS,96.43,96.97,95.14,96.67,1352088,61.7,-0.909,96.24,0.0053,-0.39,0,HOLD
1988-06-08,TSLA,97.72,98.53,95.65,96.19,374602,52.69,1.7896,96.28,0.0037,0.967,0,BUY
1988-06-09,TSLA,100.08,100.87,96.97,100.47,3116236,8.74,-2.0661,96.47,0.0285,-0.188,0,SELL
1988-06-10,NVDA,94.74,97.12,93.21,96.84,1444273,62.72,3.3149,96.53,0.0128,-0.755,0,BUY
1988-06-13,RELIANCE.NS,95.32,95.38,93.72,93.73,2197727,26.14,-1.5974,96.45,0.0012,-0.455,0,SELL
1988-06-14,AAPL,97.06,98.77,95.54,96.66,4775148,34.78,-0.3072,96.49,0.0516,1.0,0,HOLD
1988-06-15,INFY.NS,96.7,97.64,96.54,96.9,1539880,84.78,-0.544,96.51,0.0048,-1.0,0,HOLD
1988-06-16,RELIANCE.NS,94.64,95.35,93.17,95.11,2428182,49.05,4.8361,96.5,0.031,-1.0,0,HOLD
1988-06-17,INFY.NS,97.33,97.88,95.82,96.01,374439,63.55,0.1088,96.35,0.0218,-0.293,0,HOLD
1988-06-20,AAPL,97.62,99.67,95.9,96.67,4672817,47.88,2.7578,96.27,0.0166,-0.719,0,BUY
1988-06-21,RELIANCE.NS,96.18,96.53,93.25,94.24,2252560,47.1,-1.0618,96.08,0.0049,0.917,0,SELL
1988-06-22,TCS.NS,97.11,97.27,94.7,97.12,2593544,62.47,-2.2458,96.05,0.0074,0.271,0,HOLD
1988-06-23,RELIANCE.NS,93.41,95.09,91.9,92.51,4498524,38.11,-1.9004,95.96,0.035,-1.0,0,SELL
1988-06-24,INFY.NS,92.5,94.24,92.05,94.1,1642467,52.4,2.2213,95.89,0.0376,1.0,0,BUY
1988-06-27,TSLA,91.99,94.3,91.6,92.84,3344036,53.41,-2.4337,95.82,0.0355,0.313,0,SELL
1988-06-28,NVDA,96.72,98.09,96.33,97.06,4939224,36.37,-0.3596,95.91,0.0316,-0.527,0,HOLD
1988-06-29,RELIANCE.NS,94.72,96.67,94.42,95.65,2583973,48.66,-2.0782,95.86,0.0028,0.621,0,SELL
1988-06-30,TSLA,96.86,99.02,96.83,97.47,4033899,65.4,-0.7255,95.8,0.0128,0.011,0,HOLD
1988-07-01,NVDA,94.53,94.79,92.83,94.43,2041959,26.96,0.7921,95.84,0.0219,0.712,0,HOLD
1988-07-04,TSLA,92.97,94.31,92.25,93.21,4604745,47.82,-0.0638,95.69,0.0343,-0.05,0,HOLD
1988-07-05,INFY.NS,91.96,93.2,91.53,92.89,1824923,59.15,-1.7969,95.5,0.0028,-0.276,0,SELL
1988-07-06,TSLA,89.81,90.93,89.51,89.77,3978073,46.97,-3.7383,95.18,0.0036,-0.613,0,SELL
1988-07-07,AAPL,92.28,92.38,91.91,92.22,559183,56.11,-0.7098,94.77,0.0307,0.609,0,HOLD
1988-07-08,INFY.NS,91.79,92.32,90.85,91.12,1639087,40.42,1.9778,94.48,0.0145,-0.566,0,HOLD
1988-07-11,NVDA,92.38,92.55,89.7,91.74,373022,55.34,-1.0158,94.39,0.0316,-0.709,0,SELL
1988-07-12,TSLA,92.42,93.95,91.07,93.51,2169137,48.1,1.9477,94.23,0.0383,-1.0,0,HOLD
1988-07-13,NVDA,95.04,95.59,94.5,95.44,2185403,47.24,0.5476,94.15,0.0062,1.0,0,BUY
1988-07-14,INFY.NS,97.26,98.32,94.66,96.35,4101929,63.81,5.7901,94.22,0.0157,0.83,0,BUY
1988-07-15,TCS.NS,92.65,95.75,92.08,94.94,4151979,48.97,1.2214,94.16,0.0737,-1.0,0,HOLD
1988-07-18,INFY.NS,95.62,96.35,93.68,94.19,2418518,81.44,0.0942,94.04,0.038,-0.731,0,BUY
1988-07-19,TSLA,90.61,93.39,89.19,92.59,3694519,58.1,-3.3618,93.96,0.0278,-1.0,0,SELL
1988-07-20,TCS.NS,93.45,93.51,92.19,92.39,342703,22.83,-4.2342,93.72,0.0113,0.504,0,SELL
1988-07-21,AAPL,93.07,94.05,91.37,94.01,551512,38.29,-0.0907,93.8,0.0032,-1.0,0,HOLD
1988-07-22,TSLA,94.25,95.67,92.23,92.75,1606302,41.82,-0.3429,93.73,0.0497,-1.0,0,SELL
1988-07-25,NVDA,95.21,97.32,94.2,94.74,763506,44.28,4.6778,93.82,0.0134,1.0,0,BUY
1988-07-26,NVDA,98.62,99.41,97.35,98.48,3933703,51.37,-0.3155,93.89,0.056,1.0,0,HOLD
1988-07-27,TCS.NS,98.35,98.86,97.5,98.22,2224723,56.79,-4.3595,94.02,0.0381,1.0,0,HOLD
1988-07-28,INFY.NS,97.19,97.4,94.49,95.42,2337995,60.23,1.035,93.92,0.039,0.756,0,BUY
1988-07-29,AAPL,96.85,98.68,94.24,94.52,3250664,33.67,-0.1781,93.93,0.0232,1.0,0,HOLD
1988-08-01,TCS.NS,94.48,96.4,93.15,96.07,479338,64.9,-0.149,94.07,0.0346,-1.0,0,HOLD
1988-08-02,TSLA,96.38,97.38,95.6,95.6,3615343,73.78,-0.5871,94.2,0.0381,0.34,0,HOLD
1988-08-03,INFY.NS,97.2,98.25,94.07,96.17,1160864,48.36,-1.9965,94.52,0.0684,-0.444,0,HOLD
1988-08-04,INFY.NS,98.03,98.12,96.86,97.17,1330886,85.5,2.9116,94.77,0.0059,-0.992,0,BUY
1988-08-05,NVDA,96.91,97.16,96.46,96.94,3030225,60.89,-2.977,95.06,0.0307,-0.448,0,HOLD
1988-08-08,INFY.NS,93.76,94.84,93.06,93.35,1324770,28.69,2.1925,95.14,0.0125,-1.0,0,SELL
1988-08-09,NVDA,96.73,96.93,96.03,96.3,2895237,71.67,0.6361,95.28,0.0314,-1.0,0,BUY
1988-08-10,RELIANCE.NS,99.91,100.84,99.45,99.97,3384270,47.3,-0.074,95.51,0.0532,0.668,0,HOLD
1988-08-11,TSLA,96.12,96.25,94.31,94.97,4681972,21.0,-2.9582,95.44,0.011,1.0,0,SELL
1988-08-12,TCS.NS,93.85,95.14,93.11,94.25,4495541,43.73,2.5569,95.41,0.0034,0.488,0,HOLD
1988-08-15,TCS.NS,100.01,101.6,99.54,99.6,590462,52.92,-0.4209,95.68,0.0019,-0.649,0,HOLD
1988-08-16,RELIANCE.NS,94.1,98.27,93.46,95.95,187157,49.72,-3.4849,95.84,0.0038,1.0,0,HOLD
1988-08-17,INFY.NS,98.75,99.52,98.59,99.16,3178179,62.13,2.453,96.18,0.0525,0.522,0,BUY
1988-08-18,AAPL,97.52,99.1,96.88,98.56,2394724,49.31,-2.0865,96.41,0.0381,0.341,0,HOLD
1988-08-19,NVDA,99.55,100.53,97.19,98.63,130536,19.2,2.085,96.7,0.0515,1.0,0,BUY
1988-08-22,TCS.NS,100.23,100.68,99.11,99.95,682808,26.66,-0.0936,96.96,0.0177,0.626,0,HOLD
1988-08-23,NVDA,97.22,97.69,96.88,97.02,526349,73.15,-1.7125,96.89,0.0228,0.32,0,HOLD
1988-08-24,AAPL,101.34,101.78,97.29,98.19,2103445,49.96,2.4156,96.89,0.0707,0.948,0,BUY
1988-08-25,NVDA,100.21,101.5,97.79,98.07,3347997,44.11,-0.2101,97.02,0.0005,-0.234,0,HOLD
1988-08-26,TSLA,98.06,98.54,96.98,98.37,3571264,84.53,0.0938,97.21,0.0177,0.383,0,BUY
1988-08-29,NVDA,98.86,99.19,97.27,97.66,4133148,52.41,-0.895,97.29,0.0186,-1.0,0,HOLD
1988-08-30,AAPL,97.47,97.95,93.96,97.63,2179647,76.28,0.0044,97.4,0.0463,0.657,0,BUY
1988-08-31,INFY.NS,97.89,99.07,96.44,97.32,3798243,50.03,0.2925,97.45,0.0048,0.777,0,HOLD
1988-09-01,TCS.NS,94.33,94.38,92.26,92.59,4660726,29.97,-0.4172,97.22,0.0202,-1.0,0,SELL
1988-09-02,NVDA,97.8,100.29,97.6,99.23,1043225,55.51,1.5451,97.34,0.0262,-0.329,0,BUY
1988-09-05,TSLA,93.52,94.24,93.49,93.56,1047660,63.88,-0.1488,97.35,0.0316,-0.718,0,HOLD
1988-09-06,RELIANCE.NS,95.45,97.44,94.73,97.05,4625107,63.3,0.4285,97.39,0.0016,-0.497,0,HOLD
1988-09-07,AAPL,96.77,97.92,91.17,94.1,2893733,35.12,-2.0123,97.09,0.0065,0.164,0,SELL
1988-09-08,RELIANCE.NS,94.95,95.72,94.75,94.96,4143420,74.53,-3.6187,97.09,0.0315,1.0,0,HOLD
1988-09-09,AAPL,94.66,96.68,93.64,95.23,1841529,53.71,-2.0598,97.14,0.0396,-1.0,0,SELL
1988-09-12,RELIANCE.NS,97.73,98.54,95.84,96.54,334051,56.7,-1.6415,96.99,0.0293,-1.0,0,SELL
1988-09-13,TSLA,93.09,95.32,93.01,94.4,3584118,39.45,-3.4855,96.91,0.0041,0.496,0,SELL
1988-09-14,TSLA,95.26,96.4,94.88,96.02,447435,57.6,1.5788,96.75,0.0047,0.428,0,HOLD
1988-09-15,NVDA,93.1,93.72,90.86,92.98,2168838,53.28,2.3783,96.47,0.0392,-0.193,0,HOLD
1988-09-16,NVDA,99.68,100.52,99.38,99.46,2736897,28.52,-1.5449,96.52,0.0171,0.573,0,HOLD
1988-09-19,TCS.NS,93.49,93.92,93.45,93.75,4306288,50.88,-0.3706,96.21,0.0625,-1.0,0,SELL
1988-09-20,TSLA,93.45,94.1,92.45,93.4,851329,79.76,-1.2331,96.03,0.038,-1.0,0,SELL
1988-09-21,AAPL,94.85,96.58,93.3,96.56,4745231,43.81,1.7538,95.94,0.0084,-0.794,0,HOLD
1988-09-22,AAPL,92.82,94.14,92.64,93.43,4833958,26.44,0.7028,95.71,0.0282,1.0,0,HOLD
1988-09-23,TSLA,93.45,94.14,91.43,93.05,2216751,44.13,-0.8318,95.45,0.0074,0.966,0,SELL
1988-09-26,TSLA,92.46,94.28,91.62,93.66,482836,55.07,0.6962,95.25,0.0184,-0.298,0,HOLD
1988-09-27,TSLA,94.43,95.76,92.78,93.42,2989133,58.45,3.0139,95.04,0.0039,0.138,0,HOLD
1988-09-28,NVDA,90.09,91.48,89.03,90.95,3977197,54.03,0.09,94.72,0.0579,-0.143,0,HOLD
1988-09-29,TCS.NS,96.08,96.27,93.9,95.17,123353,32.15,-0.1135,94.85,0.0051,0.419,0,HOLD
1988-09-30,RELIANCE.NS,92.15,92.8,91.48,92.23,2628193,70.43,1.7095,94.5,0.0066,0.289,0,BUY
1988-10-03,AAPL,91.68,92.19,91.48,92.07,2655286,44.06,-2.3867,94.42,0.0587,-1.0,0,SELL
1988-10-04,NVDA,99.23,101.2,95.61,96.6,3865647,55.52,3.6341,94.4,0.0583,0.703,0,BUY
1988-10-05,RELIANCE.NS,92.6,94.67,91.78,93.23,3605317,52.72,-1.9521,94.36,0.0413,-0.993,0,SELL
1988-10-06,RELIANCE.NS,94.6,95.25,94.13,94.49,2817421,47.63,-0.9813,94.33,0.0259,-0.297,0,HOLD
1988-10-07,INFY.NS,94.03,95.23,93.4,94.74,4616077,58.06,0.0282,94.31,0.0435,-0.343,0,HOLD
1988-10-10,RELIANCE.NS,88.15,89.83,87.39,88.82,3677442,63.01,1.1591,93.92,0.0129,0.209,0,HOLD
1988-10-11,TCS.NS,99.94,100.06,98.75,99.17,4676290,58.6,1.1567,94.16,0.0155,-0.679,0,BUY
1988-10-12,INFY.NS,97.43,99.53,96.08,97.46,4964562,44.35,1.8647,94.23,0.0467,1.0,0,BUY
1988-10-13,AAPL,96.81,96.97,95.16,95.55,4192346,58.39,-0.5378,94.36,0.0069,1.0,0,HOLD
1988-10-14,TSLA,93.72,95.89,93.68,94.7,136774,48.94,-0.4274,94.12,0.0101,-0.995,0,HOLD
1988-10-17,INFY.NS,95.96,98.44,94.14,94.4,4133474,32.58,-1.2107,94.16,0.011,-0.424,0,SELL
1988-10-18,TSLA,94.3,96.42,94.16,95.1,4030195,55.89,1.0267,94.24,0.011,-1.0,0,HOLD
1988-10-19,INFY.NS,96.72,97.21,96.61,97.01,158180,49.12,-0.9946,94.26,0.0063,0.396,0,HOLD
1988-10-20,TCS.NS,96.95,98.25,95.37,96.68,1146020,51.4,-2.1878,94.43,0.0563,0.236,0,HOLD
1988-10-21,RELIANCE.NS,98.16,100.93,96.94,98.26,2801381,46.05,2.8015,94.69,0.0177,0.845,0,BUY
1988-10-24,INFY.NS,94.73,96.7,94.15,95.48,939913,40.49,1.9788,94.78,0.0127,1.0,0,BUY
1988-10-25,TSLA,93.79,95.37,93.49,94.35,753281,48.7,-0.5359,94.82,0.0389,0.916,0,HOLD
1988-10-26,AAPL,96.2,98.07,96.14,96.73,1107910,51.75,-3.2668,95.11,0.0244,-0.629,0,HOLD
1988-10-27,RELIANCE.NS,96.97,98.37,96.95,97.98,232571,51.65,-1.1461,95.25,0.006,-0.98,0,HOLD
1988-10-28,INFY.NS,98.74,99.01,97.8,97.84,1659504,63.03,-1.6898,95.53,0.0498,1.0,0,HOLD
1988-10-31,AAPL,100.76,101.66,100.37,101.3,2410298,53.62,-0.6574,95.99,0.0324,0.062,0,HOLD
1988-11-01,AAPL,96.6,98.05,94.91,96.08,4979816,46.93,-1.719,95.97,0.0548,-1.0,0,SELL
